County Name,Observation Count,Arithmetic Mean,Arithmetic Standard Dev
Alameda,8092,6.423752,5.898829
Alameda,8602,6.479772,5.843729
Alameda,8511,6.910116,6.463004
Alameda,8515,8.782971,7.840665
Alameda,3474,6.998273,5.003367
Alameda,8482,7.099859,5.983671
Alameda,8533,6.174851,5.593294
Butte,8310,7.970036,7.774143
Butte,8310,7.970036,7.774143
Butte,6900,7.816957,8.252149
Butte,25,0.02088,0.0044
Butte,25,0.001,0.0
Butte,25,0.09304,0.037123
Butte,25,0.00312,0.0006
Butte,25,0.00132,0.00069
Butte,25,0.02492,0.01656
Butte,25,0.002,0.0
Butte,25,0.002,0.0
Butte,25,0.0064,0.001384
Butte,25,0.05524,0.070646
Butte,25,0.03868,0.025151
Butte,25,0.00204,0.0002
Butte,25,0.002,0.0
Butte,25,0.003,0.0
Butte,25,0.002,0.0
Butte,25,0.002,0.0
Butte,25,0.00352,0.002452
Butte,25,0.001,0.0
Butte,25,0.02088,0.0044
Butte,25,0.00292,0.001847
Butte,25,0.002,0.0
Butte,25,0.07252,0.060019
Butte,25,0.00804,0.0039
Butte,25,0.002,0.0
Butte,25,0.14868,0.127999
Butte,25,0.001,0.0
Butte,25,0.07488,0.053975
Butte,25,0.002,0.0
Butte,25,0.1012,0.096494
Butte,25,0.0624,0.036774
Butte,25,0.326,0.182962
Butte,24,2.642083,1.794089
Butte,24,0.194583,0.216172
Butte,24,2.48625,1.70486
Butte,24,0.305417,0.381473
Butte,24,0.523333,0.415385
Butte,24,0.855417,0.495194
Butte,24,0.4075,0.216137
Butte,24,0.387083,0.317757
Butte,24,0.31375,0.314018
Butte,24,0.632917,0.557592
Butte,24,0.07625,0.040412
Butte,24,0.05,0.0
Butte,24,0.544167,0.398769
Butte,22,0.280455,0.27453
Butte,22,0.027727,0.024286
Butte,22,0.018636,0.014895
Butte,25,0.3488,0.288723
Butte,24,5.816667,3.066036
Butte,2595,4.360308,4.189613
Butte,108,4.30463,2.401339
Butte,5315,6.745983,4.482974
Butte,220,6.703636,3.076867
Butte,8590,7.607101,7.924849
Butte,360,7.561111,5.720032
Calaveras,8527,5.630351,5.491222
Colusa,5820,13.357595,5.664449
Colusa,5820,13.357595,5.664449
