Indicator Name,Geography,Year,Category,Subcategory,Number Low Birthweight,Number Live Births,Percent Low Birthweight,Lower 95% Confidence Limit,Upper 95% Confidence Limit
Low Birthweight,California,2023,Total Population,Total population,30056.0,400035.0,7.51,7.43,7.6
Low Birthweight,Alameda,2023,Total Population,Total population,1304.0,16193.0,8.05,7.64,8.48
Low Birthweight,Alpine,2023,Total Population,Total population,0.0,3.0,0.0,0.0,0.0
Low Birthweight,Amador,2023,Total Population,Total population,25.0,309.0,8.09,5.54,11.67
Low Birthweight,Butte,2023,Total Population,Total population,143.0,2040.0,7.01,5.98,8.2
Low Birthweight,Calaveras,2023,Total Population,Total population,26.0,380.0,6.84,4.71,9.84
Low Birthweight,Colusa,2023,Total Population,Total population,16.0,239.0,6.69,4.16,10.6
Low Birthweight,Contra Costa,2023,Total Population,Total population,860.0,11195.0,7.68,7.2,8.19
Low Birthweight,Del Norte,2023,Total Population,Total population,15.0,243.0,6.17,3.78,9.93
Low Birthweight,El Dorado,2023,Total Population,Total population,93.0,1437.0,6.47,5.31,7.86
Low Birthweight,Fresno,2023,Total Population,Total population,1049.0,13097.0,8.01,7.56,8.49
Low Birthweight,Glenn,2023,Total Population,Total population,23.0,315.0,7.3,4.91,10.72
Low Birthweight,Humboldt,2023,Total Population,Total population,69.0,1075.0,6.42,5.1,8.04
Low Birthweight,Imperial,2023,Total Population,Total population,178.0,2356.0,7.56,6.56,8.69
Low Birthweight,Inyo,2023,Total Population,Total population,0.0,133.0,0.0,0.0,0.0
Low Birthweight,Kern,2023,Total Population,Total population,917.0,12059.0,7.6,7.14,8.09
Low Birthweight,Kings,2023,Total Population,Total population,147.0,2024.0,7.26,6.21,8.48
Low Birthweight,Lake,2023,Total Population,Total population,40.0,604.0,6.62,4.9,8.89
Low Birthweight,Lassen,2023,Total Population,Total population,18.0,251.0,7.17,4.58,11.05
Low Birthweight,Los Angeles,2023,Total Population,Total population,7117.0,90438.0,7.87,7.7,8.05
Low Birthweight,Madera,2023,Total Population,Total population,146.0,2188.0,6.67,5.7,7.8
Low Birthweight,Marin,2023,Total Population,Total population,109.0,2193.0,4.97,4.14,5.96
Low Birthweight,Mariposa,2023,Total Population,Total population,12.0,154.0,7.79,4.51,13.13
Low Birthweight,Mendocino,2023,Total Population,Total population,47.0,769.0,6.11,4.63,8.03
Low Birthweight,Merced,2023,Total Population,Total population,260.0,3692.0,7.04,6.26,7.91
Low Birthweight,Modoc,2023,Total Population,Total population,0.0,84.0,0.0,0.0,0.0
Low Birthweight,Mono,2023,Total Population,Total population,0.0,118.0,0.0,0.0,0.0
Low Birthweight,Monterey,2023,Total Population,Total population,380.0,5346.0,7.11,6.45,7.83
Low Birthweight,Napa,2023,Total Population,Total population,90.0,1234.0,7.29,5.97,8.88
Low Birthweight,Nevada,2023,Total Population,Total population,40.0,771.0,5.19,3.83,6.99
Low Birthweight,Orange,2023,Total Population,Total population,2209.0,29865.0,7.4,7.11,7.7
Low Birthweight,Placer,2023,Total Population,Total population,197.0,3766.0,5.23,4.56,5.99
Low Birthweight,Plumas,2023,Total Population,Total population,11.0,133.0,8.27,4.68,14.2
Low Birthweight,Riverside,2023,Total Population,Total population,1918.0,26445.0,7.25,6.95,7.57
Low Birthweight,Sacramento,2023,Total Population,Total population,1319.0,17366.0,7.6,7.21,8.0
Low Birthweight,San Benito,2023,Total Population,Total population,48.0,764.0,6.28,4.77,8.23
Low Birthweight,San Bernardino,2023,Total Population,Total population,2113.0,24894.0,8.49,8.15,8.84
Low Birthweight,San Diego,2023,Total Population,Total population,2496.0,35702.0,6.99,6.73,7.26
Low Birthweight,San Francisco,2023,Total Population,Total population,521.0,6787.0,7.68,7.07,8.33
Low Birthweight,San Joaquin,2023,Total Population,Total population,795.0,9571.0,8.31,7.77,8.88
