County Name,Observation Count,PM2.5 Mean,Arithmetic Standard Dev,Race Group,Percent Low Birthweight,PM2.5 Category
Alameda,8092,6.423752,5.898829,Non-White,7.39,Healthy
Alameda,8092,6.423752,5.898829,White,5.71,Healthy
Alameda,8602,6.479772,5.843729,Non-White,7.39,Healthy
Alameda,8602,6.479772,5.843729,White,5.71,Healthy
Alameda,8511,6.910116,6.463004,Non-White,7.39,Healthy
Alameda,8511,6.910116,6.463004,White,5.71,Healthy
Alameda,8515,8.782971,7.840665,Non-White,7.39,Healthy
Alameda,8515,8.782971,7.840665,White,5.71,Healthy
Alameda,3474,6.998273,5.003367,Non-White,7.39,Healthy
Alameda,3474,6.998273,5.003367,White,5.71,Healthy
Alameda,8482,7.099859,5.983671,Non-White,7.39,Healthy
Alameda,8482,7.099859,5.983671,White,5.71,Healthy
Alameda,8533,6.174851,5.593294,Non-White,7.39,Healthy
Alameda,8533,6.174851,5.593294,White,5.71,Healthy
Butte,8310,7.970036,7.774143,Non-White,4.569999999999999,Healthy
Butte,8310,7.970036,7.774143,White,6.9,Healthy
Butte,8310,7.970036,7.774143,Non-White,4.569999999999999,Healthy
Butte,8310,7.970036,7.774143,White,6.9,Healthy
Butte,6900,7.816957,8.252149,Non-White,4.569999999999999,Healthy
Butte,6900,7.816957,8.252149,White,6.9,Healthy
Butte,25,0.02088,0.0044,Non-White,4.569999999999999,Healthy
Butte,25,0.02088,0.0044,White,6.9,Healthy
Butte,25,0.001,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.001,0.0,White,6.9,Healthy
Butte,25,0.09304,0.037123,Non-White,4.569999999999999,Healthy
Butte,25,0.09304,0.037123,White,6.9,Healthy
Butte,25,0.00312,0.0006,Non-White,4.569999999999999,Healthy
Butte,25,0.00312,0.0006,White,6.9,Healthy
Butte,25,0.00132,0.00069,Non-White,4.569999999999999,Healthy
Butte,25,0.00132,0.00069,White,6.9,Healthy
Butte,25,0.02492,0.01656,Non-White,4.569999999999999,Healthy
Butte,25,0.02492,0.01656,White,6.9,Healthy
Butte,25,0.002,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.002,0.0,White,6.9,Healthy
Butte,25,0.002,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.002,0.0,White,6.9,Healthy
Butte,25,0.0064,0.001384,Non-White,4.569999999999999,Healthy
Butte,25,0.0064,0.001384,White,6.9,Healthy
Butte,25,0.05524,0.070646,Non-White,4.569999999999999,Healthy
Butte,25,0.05524,0.070646,White,6.9,Healthy
Butte,25,0.03868,0.025151,Non-White,4.569999999999999,Healthy
Butte,25,0.03868,0.025151,White,6.9,Healthy
Butte,25,0.00204,0.0002,Non-White,4.569999999999999,Healthy
Butte,25,0.00204,0.0002,White,6.9,Healthy
Butte,25,0.002,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.002,0.0,White,6.9,Healthy
Butte,25,0.003,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.003,0.0,White,6.9,Healthy
Butte,25,0.002,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.002,0.0,White,6.9,Healthy
Butte,25,0.002,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.002,0.0,White,6.9,Healthy
Butte,25,0.00352,0.002452,Non-White,4.569999999999999,Healthy
Butte,25,0.00352,0.002452,White,6.9,Healthy
Butte,25,0.001,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.001,0.0,White,6.9,Healthy
Butte,25,0.02088,0.0044,Non-White,4.569999999999999,Healthy
Butte,25,0.02088,0.0044,White,6.9,Healthy
Butte,25,0.00292,0.001847,Non-White,4.569999999999999,Healthy
Butte,25,0.00292,0.001847,White,6.9,Healthy
Butte,25,0.002,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.002,0.0,White,6.9,Healthy
Butte,25,0.07252,0.060019,Non-White,4.569999999999999,Healthy
Butte,25,0.07252,0.060019,White,6.9,Healthy
Butte,25,0.00804,0.0039,Non-White,4.569999999999999,Healthy
Butte,25,0.00804,0.0039,White,6.9,Healthy
Butte,25,0.002,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.002,0.0,White,6.9,Healthy
Butte,25,0.14868,0.127999,Non-White,4.569999999999999,Healthy
Butte,25,0.14868,0.127999,White,6.9,Healthy
Butte,25,0.001,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.001,0.0,White,6.9,Healthy
Butte,25,0.07488,0.053975,Non-White,4.569999999999999,Healthy
Butte,25,0.07488,0.053975,White,6.9,Healthy
Butte,25,0.002,0.0,Non-White,4.569999999999999,Healthy
Butte,25,0.002,0.0,White,6.9,Healthy
Butte,25,0.1012,0.096494,Non-White,4.569999999999999,Healthy
Butte,25,0.1012,0.096494,White,6.9,Healthy
Butte,25,0.0624,0.036774,Non-White,4.569999999999999,Healthy
Butte,25,0.0624,0.036774,White,6.9,Healthy
Butte,25,0.326,0.182962,Non-White,4.569999999999999,Healthy
Butte,25,0.326,0.182962,White,6.9,Healthy
Butte,24,2.642083,1.794089,Non-White,4.569999999999999,Healthy
Butte,24,2.642083,1.794089,White,6.9,Healthy
Butte,24,0.194583,0.216172,Non-White,4.569999999999999,Healthy
Butte,24,0.194583,0.216172,White,6.9,Healthy
Butte,24,2.48625,1.70486,Non-White,4.569999999999999,Healthy
Butte,24,2.48625,1.70486,White,6.9,Healthy
Butte,24,0.305417,0.381473,Non-White,4.569999999999999,Healthy
Butte,24,0.305417,0.381473,White,6.9,Healthy
Butte,24,0.523333,0.415385,Non-White,4.569999999999999,Healthy
Butte,24,0.523333,0.415385,White,6.9,Healthy
Butte,24,0.855417,0.495194,Non-White,4.569999999999999,Healthy
Butte,24,0.855417,0.495194,White,6.9,Healthy
Butte,24,0.4075,0.216137,Non-White,4.569999999999999,Healthy
Butte,24,0.4075,0.216137,White,6.9,Healthy
Butte,24,0.387083,0.317757,Non-White,4.569999999999999,Healthy
Butte,24,0.387083,0.317757,White,6.9,Healthy
Butte,24,0.31375,0.314018,Non-White,4.569999999999999,Healthy
Butte,24,0.31375,0.314018,White,6.9,Healthy
Butte,24,0.632917,0.557592,Non-White,4.569999999999999,Healthy
Butte,24,0.632917,0.557592,White,6.9,Healthy
Butte,24,0.07625,0.040412,Non-White,4.569999999999999,Healthy
Butte,24,0.07625,0.040412,White,6.9,Healthy
Butte,24,0.05,0.0,Non-White,4.569999999999999,Healthy
Butte,24,0.05,0.0,White,6.9,Healthy
Butte,24,0.544167,0.398769,Non-White,4.569999999999999,Healthy
Butte,24,0.544167,0.398769,White,6.9,Healthy
Butte,22,0.280455,0.27453,Non-White,4.569999999999999,Healthy
Butte,22,0.280455,0.27453,White,6.9,Healthy
Butte,22,0.027727,0.024286,Non-White,4.569999999999999,Healthy
Butte,22,0.027727,0.024286,White,6.9,Healthy
Butte,22,0.018636,0.014895,Non-White,4.569999999999999,Healthy
Butte,22,0.018636,0.014895,White,6.9,Healthy
Butte,25,0.3488,0.288723,Non-White,4.569999999999999,Healthy
Butte,25,0.3488,0.288723,White,6.9,Healthy
Butte,24,5.816667,3.066036,Non-White,4.569999999999999,Healthy
Butte,24,5.816667,3.066036,White,6.9,Healthy
Butte,2595,4.360308,4.189613,Non-White,4.569999999999999,Healthy
Butte,2595,4.360308,4.189613,White,6.9,Healthy
Butte,108,4.30463,2.401339,Non-White,4.569999999999999,Healthy
Butte,108,4.30463,2.401339,White,6.9,Healthy
Butte,5315,6.745983,4.482974,Non-White,4.569999999999999,Healthy
Butte,5315,6.745983,4.482974,White,6.9,Healthy
Butte,220,6.703636,3.076867,Non-White,4.569999999999999,Healthy
Butte,220,6.703636,3.076867,White,6.9,Healthy
Butte,8590,7.607101,7.924849,Non-White,4.569999999999999,Healthy
Butte,8590,7.607101,7.924849,White,6.9,Healthy
Butte,360,7.561111,5.720032,Non-White,4.569999999999999,Healthy
Butte,360,7.561111,5.720032,White,6.9,Healthy
Calaveras,8527,5.630351,5.491222,Non-White,0.9384615384615383,Healthy
Calaveras,8527,5.630351,5.491222,White,6.6,Healthy
Colusa,5820,13.357595,5.664449,Non-White,1.176923076923077,Unhealthy
Colusa,5820,13.357595,5.664449,White,7.41,Unhealthy
Colusa,5820,13.357595,5.664449,Non-White,1.176923076923077,Unhealthy
Colusa,5820,13.357595,5.664449,White,7.41,Unhealthy
Colusa,8560,7.438715,6.797575,Non-White,1.176923076923077,Healthy
Colusa,8560,7.438715,6.797575,White,7.41,Healthy
Contra Costa,7763,6.422259,5.445614,Non-White,7.843076923076923,Healthy
Contra Costa,7763,6.422259,5.445614,White,6.005,Healthy
Contra Costa,8491,9.981392,8.111887,Non-White,7.843076923076923,Unhealthy
Contra Costa,8491,9.981392,8.111887,White,6.005,Unhealthy
Del Norte,115,0.0,0.0,Non-White,2.8938461538461535,Healthy
Del Norte,115,0.0,0.0,White,6.205,Healthy
Del Norte,115,0.005713,0.009803,Non-White,2.8938461538461535,Healthy
Del Norte,115,0.005713,0.009803,White,6.205,Healthy
Del Norte,115,0.001948,0.001555,Non-White,2.8938461538461535,Healthy
Del Norte,115,0.001948,0.001555,White,6.205,Healthy
Del Norte,115,0.020739,0.020023,Non-White,2.8938461538461535,Healthy
Del Norte,115,0.020739,0.020023,White,6.205,Healthy
Del Norte,115,9e-06,9.3e-05,Non-White,2.8938461538461535,Healthy
Del Norte,115,9e-06,9.3e-05,White,6.205,Healthy
Del Norte,115,9e-06,9.3e-05,Non-White,2.8938461538461535,Healthy
Del Norte,115,9e-06,9.3e-05,White,6.205,Healthy
Del Norte,115,0.478496,0.604046,Non-White,2.8938461538461535,Healthy
Del Norte,115,0.478496,0.604046,White,6.205,Healthy
Del Norte,115,0.00593,0.006897,Non-White,2.8938461538461535,Healthy
Del Norte,115,0.00593,0.006897,White,6.205,Healthy
Del Norte,115,9.6e-05,0.000295,Non-White,2.8938461538461535,Healthy
Del Norte,115,9.6e-05,0.000295,White,6.205,Healthy
Del Norte,115,8.7e-05,0.000312,Non-White,2.8938461538461535,Healthy
Del Norte,115,8.7e-05,0.000312,White,6.205,Healthy
