County Name,PM2.5 Mean,Race Group,Percent Low Birthweight,PM2.5 Category
Alameda,6.981370571428571,Non-White,7.39,Healthy
Alameda,6.981370571428571,White,5.71,Healthy
Butte,1.3455088448275865,Non-White,4.569999999999999,Healthy
Butte,1.3455088448275865,White,6.9,Healthy
Calaveras,5.630351,Non-White,0.9384615384615383,Healthy
Calaveras,5.630351,White,6.6,Healthy
Colusa,11.384635,Non-White,1.176923076923077,Unhealthy
Colusa,11.384635,White,7.41,Unhealthy
Contra Costa,8.2018255,Non-White,7.843076923076923,Healthy
Contra Costa,8.2018255,White,6.005,Healthy
Del Norte,1.0444561063829787,Non-White,2.893846153846153,Healthy
Del Norte,1.0444561063829787,White,6.205,Healthy
El Dorado,0.2481974069767442,Non-White,5.2423076923076914,Healthy
El Dorado,0.2481974069767442,White,5.645,Healthy
Fresno,0.9392862795031056,Non-White,9.12,Healthy
Fresno,0.9392862795031056,White,7.125,Healthy
Glenn,6.679587,Non-White,0.7107692307692308,Healthy
Glenn,6.679587,White,5.16,Healthy
Humboldt,11.7646524,Non-White,4.236153846153846,Unhealthy
Humboldt,11.7646524,White,6.085,Unhealthy
Imperial,1.0070944615384616,Non-White,3.315384615384616,Healthy
Imperial,1.0070944615384616,White,6.195,Healthy
Inyo,1.6188451,Non-White,1.6723076923076925,Healthy
Inyo,1.6188451,White,3.88,Healthy
Kern,0.8505033606557376,Non-White,7.240769230769231,Healthy
Kern,0.8505033606557376,White,6.79,Healthy
Kings,11.3105205,Non-White,4.54,Unhealthy
Kings,11.3105205,White,7.005,Unhealthy
Los Angeles,1.0845901009174312,Non-White,8.97,Healthy
Los Angeles,1.0845901009174312,White,6.575,Healthy
Madera,9.974812,Non-White,6.952307692307692,Unhealthy
Madera,9.974812,White,5.995,Unhealthy
Marin,0.4096202045454545,Non-White,4.69,Healthy
Marin,0.4096202045454545,White,4.875,Healthy
Mariposa,0.5304150833333333,Non-White,1.9230769230769231,Healthy
Mariposa,0.5304150833333333,White,7.494999999999999,Healthy
Mendocino,9.48315,Non-White,2.1715384615384616,Unhealthy
Mendocino,9.48315,White,6.279999999999999,Unhealthy
Merced,9.0451865,Non-White,6.562307692307693,Unhealthy
Merced,9.0451865,White,6.2,Unhealthy
Mono,0.4651084255319148,Non-White,1.3723076923076922,Healthy
Mono,0.4651084255319148,White,7.15,Healthy
Monterey,5.500215999999999,Non-White,5.437692307692307,Healthy
Monterey,5.500215999999999,White,5.885,Healthy
Nevada,6.016767000000001,Non-White,0.8553846153846153,Healthy
Nevada,6.016767000000001,White,4.965,Healthy
Orange,0.7587061086956521,Non-White,6.813846153846153,Healthy
Orange,0.7587061086956521,White,6.199999999999999,Healthy
Placer,5.985837875,Non-White,5.823076923076924,Healthy
Placer,5.985837875,White,4.960000000000001,Healthy
Plumas,1.350226113207547,Non-White,0.0,Healthy
Plumas,1.350226113207547,White,8.495000000000001,Healthy
Riverside,1.0937100723404254,Non-White,7.91,Healthy
Riverside,1.0937100723404254,White,6.3,Healthy
Sacramento,1.007818861788618,Non-White,8.583846153846155,Healthy
Sacramento,1.007818861788618,White,5.68,Healthy
San Benito,0.3640637045454545,Non-White,1.836923076923077,Healthy
San Benito,0.3640637045454545,White,5.605,Healthy
San Bernardino,1.0288102340425531,Non-White,9.085384615384616,Healthy
San Bernardino,1.0288102340425531,White,7.369999999999999,Healthy
San Diego,2.393243635802469,Non-White,7.346153846153846,Healthy
San Diego,2.393243635802469,White,5.54,Healthy
San Francisco,6.46863,Non-White,8.69923076923077,Healthy
San Francisco,6.46863,White,5.734999999999999,Healthy
San Joaquin,6.95072125,Non-White,8.175384615384615,Healthy
San Joaquin,6.95072125,White,6.69,Healthy
San Luis Obispo,4.8897525,Non-White,3.981538461538461,Healthy
San Luis Obispo,4.8897525,White,6.494999999999999,Healthy
San Mateo,4.5,Non-White,5.854615384615385,Healthy
San Mateo,4.5,White,5.535,Healthy
Santa Barbara,0.665720875,Non-White,5.696153846153846,Healthy
Santa Barbara,0.665720875,White,6.23,Healthy
Santa Clara,0.7249724492753623,Non-White,6.806153846153847,Healthy
Santa Clara,0.7249724492753623,White,6.095000000000001,Healthy
Santa Cruz,5.3666845,Non-White,4.302307692307692,Healthy
Santa Cruz,5.3666845,White,5.720000000000001,Healthy
Shasta,0.380192243902439,Non-White,6.794615384615384,Healthy
Shasta,0.380192243902439,White,6.859999999999999,Healthy
Siskiyou,0.4589432045454545,Non-White,2.2784615384615385,Healthy
Siskiyou,0.4589432045454545,White,8.465,Healthy
Solano,6.1951905,Non-White,7.882307692307692,Healthy
Solano,6.1951905,White,6.375,Healthy
Sonoma,5.065637,Non-White,5.506923076923077,Healthy
Sonoma,5.065637,White,5.285,Healthy
Stanislaus,0.8822610000000001,Non-White,6.672307692307692,Healthy
Stanislaus,0.8822610000000001,White,6.44,Healthy
Sutter,8.521271500000001,Non-White,5.3246153846153845,Healthy
Sutter,8.521271500000001,White,6.055,Healthy
Tehama,6.157944,Non-White,1.7646153846153845,Healthy
Tehama,6.157944,White,6.789999999999999,Healthy
Trinity,0.6747136222222222,Non-White,0.0,Healthy
Trinity,0.6747136222222222,White,8.08,Healthy
Tulare,1.1723535463917525,Non-White,5.822307692307692,Healthy
Tulare,1.1723535463917525,White,6.825,Healthy
Ventura,5.909049833333333,Non-White,4.868461538461538,Healthy
Ventura,5.909049833333333,White,6.045,Healthy
Yolo,7.0676316,Non-White,3.7584615384615385,Healthy
Yolo,7.0676316,White,5.654999999999999,Healthy
